session_id,network_packet_size,protocol_type,login_attempts,session_duration,encryption_used,ip_reputation_score,failed_logins,browser_type,unusual_time_access,attack_detected
SID_00023,513,TCP,3,654.5261426459776,AES,0.49702954355494516,1,Firefox,0,0
SID_00024,215,TCP,8,317.0788581057768,AES,0.461950842242767,2,Chrome,0,1
SID_00025,391,TCP,5,93.17112499822254,AES,0.536245189457405,2,Firefox,0,0
SID_00026,522,TCP,4,211.59584253834697,AES,0.1078985576055601,3,Firefox,0,1
SID_00027,269,TCP,9,92.70169297371483,None,0.5068194256848887,0,Chrome,0,1
SID_00028,575,TCP,3,3286.2217277677482,DES,0.4204711850467863,0,Chrome,0,0
SID_00029,379,UDP,2,214.98212232301017,AES,0.7863154442710675,2,Chrome,0,1
SID_00030,441,TCP,7,604.9615522886485,AES,0.33603184779360756,0,Firefox,0,1
SID_00031,379,TCP,1,447.62330730772806,DES,0.09938981856189825,0,Chrome,0,0
SID_00032,870,UDP,2,674.2716307687525,DES,0.2720868405623606,1,Chrome,0,1
SID_00033,497,TCP,1,551.4693389958693,None,0.035139252570455276,1,Chrome,1,0
SID_00034,288,ICMP,2,1039.10118603804,AES,0.11026943862498403,3,Chrome,0,1
SID_00035,664,TCP,6,1650.942099269792,None,0.39154420865502676,2,Chrome,1,0
SID_00036,255,TCP,2,268.71323796747225,AES,0.5173361768348047,1,Chrome,1,0
SID_00037,541,TCP,5,162.2873080817919,None,0.13797582341231138,2,Chrome,0,0
SID_00038,108,TCP,7,3325.3086894656926,AES,0.07950932193613122,2,Firefox,0,1
SID_00039,234,TCP,5,1608.3650968582053,DES,0.6459042598252172,4,Firefox,0,1
SID_00040,539,TCP,4,361.9425945829811,DES,0.30878995992065345,0,Chrome,0,0
SID_00041,647,TCP,2,1801.41325899014,None,0.29918403943597227,1,Chrome,0,0
SID_00042,534,TCP,4,888.2555882449734,AES,0.0367521363575246,3,Chrome,0,1
SID_00043,476,TCP,4,460.1784563437431,DES,0.39741946159176655,2,Edge,0,0
SID_00044,439,TCP,5,1653.5169443242044,None,0.24531311486974489,2,Chrome,0,0
SID_00045,204,TCP,4,899.8403029798167,DES,0.3373211395417786,1,Chrome,0,0
SID_00046,356,TCP,2,1401.0372662699012,DES,0.6729768279913647,1,Chrome,0,1
SID_00047,407,TCP,7,432.6976830475844,DES,0.08176971138367407,3,Edge,1,1
SID_00048,711,TCP,5,1282.4285713839413,AES,0.20744548353418402,2,Edge,0,1
SID_00049,568,TCP,6,365.73555486698257,AES,0.5343683322456065,2,Unknown,0,1
SID_00050,147,TCP,1,1062.659149730583,AES,0.26337263172689646,1,Edge,0,0
SID_00051,564,TCP,2,457.4952008808089,None,0.219704731816743,1,Edge,1,0
SID_00052,422,TCP,5,415.6167950841102,AES,0.4663241681421678,1,Chrome,0,0
SID_00053,364,TCP,5,1274.1942392067006,AES,0.8708336888298047,2,Firefox,0,1
SID_00054,622,TCP,6,106.85874364661221,None,0.3298889701600508,1,Firefox,1,1
SID_00055,706,TCP,4,2107.19716665885,DES,0.4658562587345757,2,Edge,1,0
SID_00056,686,TCP,3,568.5288982396605,DES,0.6136432536281438,1,Firefox,0,1
SID_00057,332,TCP,2,808.6446595055914,AES,0.17424548207039026,2,Chrome,0,0
SID_00058,438,TCP,4,415.7067630688467,DES,0.21723463693334447,1,Chrome,0,0
SID_00059,566,UDP,5,830.483464807917,DES,0.6028501934467423,1,Firefox,0,1
SID_00060,695,UDP,1,989.8897960942786,AES,0.259418552130799,2,Edge,0,1
SID_00061,404,TCP,9,1622.860870864447,DES,0.23567555024295073,2,Chrome,0,1
SID_00062,462,TCP,5,1541.3967703070944,AES,0.04001918291917886,2,Chrome,0,0
SID_00063,278,TCP,8,354.30271017360786,AES,0.5116026457176248,2,Edge,0,1
SID_00064,260,UDP,6,765.3837210156122,AES,0.5402342873210285,1,Chrome,0,0
SID_00065,662,TCP,3,1213.4042121411699,None,0.4544121864022344,1,Safari,0,0
SID_00066,771,ICMP,6,1158.071232246108,None,0.13577850482188178,2,Chrome,1,0
SID_00067,485,TCP,5,1772.622948174797,None,0.4362987418285402,2,Chrome,0,0
SID_00068,700,TCP,6,1426.7642254528307,DES,0.19976663083962784,4,Chrome,0,1
SID_00069,572,TCP,10,1012.2699508672414,DES,0.16445734799244172,1,Chrome,0,1
SID_00070,370,TCP,1,1105.3806022240433,AES,0.4086537168997098,2,Chrome,0,1
SID_00071,572,TCP,6,1317.8935947961731,AES,0.20539178765762972,0,Edge,0,0
SID_00072,807,TCP,3,1455.576779684165,AES,0.6271547548524079,0,Unknown,0,1
SID_00073,492,TCP,4,347.91805418370086,AES,0.2638643281334985,1,Edge,0,1
SID_00074,812,UDP,7,1217.9139195544108,DES,0.651720998102494,2,Chrome,0,1
SID_00075,64,TCP,6,2384.0286686884297,None,0.5125115429611737,1,Chrome,0,0
SID_00076,664,TCP,3,212.17659606312992,None,0.10556028572070338,0,Chrome,0,0
SID_00077,517,TCP,5,39.54966375410118,DES,0.3360337531065149,1,Edge,0,1
SID_00078,440,UDP,5,60.12054049063278,DES,0.3466523484514337,1,Chrome,0,0
SID_00079,518,UDP,7,195.4101798830058,AES,0.4472088363848736,0,Chrome,0,1
SID_00080,102,TCP,3,2018.4893233966325,None,0.20807831966246604,2,Edge,0,0
SID_00081,456,TCP,5,108.46893562306865,DES,0.10976250984890182,2,Firefox,0,0
SID_00082,571,TCP,5,1101.401768015545,DES,0.4818222137601502,2,Chrome,1,0
SID_00083,795,TCP,6,1614.1886098890527,AES,0.17965202842302827,2,Chrome,0,1
SID_00084,396,TCP,6,1679.8526967503183,None,0.6107440107285588,0,Chrome,0,1
SID_00085,338,UDP,2,431.3095534963739,AES,0.32548556964131914,1,Edge,0,0
SID_00086,399,TCP,3,546.9722169261106,None,0.5954335496002904,0,Chrome,0,0
SID_00087,683,TCP,5,312.3613276488573,AES,0.3415719127620866,3,Firefox,0,1
SID_00088,565,TCP,8,127.51964209032083,AES,0.1981503877084024,2,Chrome,1,1
SID_00089,394,UDP,4,190.77965331945086,AES,0.38401499470902695,1,Chrome,0,1
SID_00090,602,TCP,4,115.82192978072582,AES,0.28269953542744236,1,Chrome,1,1
SID_00091,519,TCP,3,418.75359206704763,AES,0.5074718561537545,2,Firefox,1,0
SID_00092,693,TCP,4,149.39682434919536,DES,0.7465329921047918,2,Edge,0,1
SID_00093,359,TCP,4,413.20774817989843,AES,0.3961354801328169,3,Chrome,0,1
SID_00094,434,UDP,7,1524.0632797670812,DES,0.26537508764838863,0,Firefox,0,1
SID_00095,421,TCP,7,850.2462962444683,DES,0.7363071667506592,3,Safari,0,1
SID_00096,207,UDP,4,869.5488497403968,AES,0.1801952291959206,3,Firefox,0,1
SID_00097,559,TCP,3,1336.4809719223258,AES,0.28045950502213196,1,Safari,0,0
SID_00098,552,TCP,2,33.65280380665794,AES,0.31197249830662727,0,Firefox,0,0
SID_00099,501,UDP,3,1265.8898099183803,AES,0.359586097716788,2,Firefox,0,0
SID_00100,453,TCP,5,174.87198977443362,AES,0.4396989559319573,2,Firefox,0,0
SID_00101,216,TCP,6,339.6289336863756,AES,0.792908723614886,0,Edge,0,1
SID_00102,415,TCP,2,294.5849672223419,AES,0.20468127108735373,3,Chrome,0,1
SID_00103,431,TCP,2,89.33142787527953,AES,0.021302682574162887,2,Firefox,0,0
SID_00104,339,TCP,3,152.6475054745366,DES,0.40868098195241004,2,Firefox,0,0
SID_00105,467,ICMP,1,2505.1902247693133,AES,0.20998862020930154,2,Chrome,0,0
SID_00106,580,ICMP,3,733.5772844904812,DES,0.24224524982769494,2,Chrome,0,0
SID_00107,877,TCP,4,513.9203055468032,None,0.18151566365328348,0,Edge,0,1
SID_00108,534,TCP,4,1134.3759248662836,None,0.6356549060949741,2,Chrome,0,1
SID_00109,551,TCP,5,1344.486704150752,DES,0.21533563891854884,0,Firefox,0,0
SID_00110,485,TCP,6,93.46336107579046,DES,0.40633122750735196,2,Chrome,0,0
SID_00111,116,TCP,4,1080.449674152331,AES,0.46236870986740236,0,Edge,0,0
SID_00112,494,TCP,6,2155.2768731587717,AES,0.4082261331463432,1,Firefox,0,0
SID_00113,512,TCP,6,704.422488537655,DES,0.22127325867107223,1,Chrome,1,0
SID_00114,992,TCP,2,761.8596818225025,DES,0.04253898891518918,1,Firefox,0,0
SID_00115,461,TCP,3,1634.686997948409,DES,0.09022441462475474,1,Edge,0,1
SID_00116,560,TCP,5,910.2548697823171,DES,0.293848130472684,2,Chrome,0,0
SID_00117,493,UDP,1,4282.643311411911,DES,0.4271570441204733,1,Unknown,0,0
SID_00118,266,TCP,5,265.80179500946144,None,0.3106996126499128,2,Safari,1,1
SID_00119,728,TCP,9,1493.9483851057782,DES,0.3440707492302625,0,Chrome,0,1
SID_00120,650,TCP,9,758.2441511370571,None,0.3970540586315398,1,Chrome,1,1
SID_00121,658,TCP,3,364.23142648438954,DES,0.42281825352781666,1,Chrome,0,0
SID_00122,318,TCP,2,1716.8731834652806,DES,0.17354759696802569,1,Edge,0,0
SID_00123,780,TCP,5,4468.001253098631,None,0.5133769785913413,1,Chrome,0,0
SID_00124,219,ICMP,4,47.6720891871051,DES,0.0839245230551094,3,Firefox,1,1
SID_00125,617,TCP,5,2077.8093270932563,AES,0.756641279217048,1,Firefox,0,1
SID_00126,938,TCP,5,181.63190836745446,AES,0.32895252857642826,2,Firefox,0,0
SID_00127,301,TCP,6,183.7197582739341,AES,0.26393138354352536,2,Firefox,0,0
SID_00128,386,ICMP,1,34.12234567916193,None,0.2923132031445906,1,Chrome,1,0
SID_00129,519,UDP,8,2042.7649588398008,AES,0.23377532585858174,3,Chrome,0,1
SID_00130,399,UDP,6,1139.689059842402,AES,0.7173627311559833,1,Chrome,0,1
SID_00131,189,TCP,1,43.94449986840703,AES,0.324800802082674,2,Chrome,0,0
SID_00132,513,ICMP,3,803.0822652641986,AES,0.14535383078285471,0,Chrome,1,0
SID_00133,287,TCP,6,102.38892419769637,None,0.06383880799900075,1,Chrome,0,1
SID_00134,594,TCP,9,1113.5448828433073,AES,0.2015363761915499,1,Firefox,0,1
SID_00135,316,UDP,3,420.8242964449342,DES,0.1010497118158562,0,Chrome,0,1
SID_00136,809,UDP,4,42.53231749395693,AES,0.1840217502247818,1,Unknown,0,1
SID_00137,343,TCP,5,1414.7818469631654,AES,0.10997889468651378,3,Edge,1,1
SID_00138,435,TCP,4,679.6785160847335,AES,0.251661490626902,3,Safari,0,1
SID_00139,662,TCP,1,1185.7797753569248,AES,0.506076780728524,2,Chrome,0,0
SID_00140,253,TCP,1,897.9900818952359,DES,0.23803868192362163,4,Unknown,0,1
SID_00141,545,TCP,4,455.88912093711633,AES,0.2624537715319337,3,Unknown,0,1
SID_00142,761,ICMP,1,959.6300158997271,AES,0.1775413015405739,2,Chrome,0,0
SID_00143,178,TCP,3,11.890700511572373,AES,0.28634068891262937,1,Edge,1,0
SID_00144,536,UDP,3,332.0943080741142,DES,0.7033341839914414,0,Firefox,0,1
SID_00145,551,UDP,3,1203.5341894452372,DES,0.11789149733293185,2,Chrome,0,0
SID_00146,656,TCP,5,1151.9651057221577,AES,0.34520664616447866,1,Chrome,0,0
SID_00147,252,UDP,4,1747.1974055008438,AES,0.30649593647988294,0,Firefox,0,1
SID_00148,235,TCP,3,755.434368901311,AES,0.2509659861114192,3,Chrome,0,1
SID_00149,604,TCP,3,2280.568942195515,None,0.8039075882980276,0,Chrome,0,1
SID_00150,559,TCP,3,652.6355940282597,AES,0.13252668524295172,2,Chrome,0,0
SID_00151,550,TCP,1,555.2444851752033,None,0.36504179764976746,2,Chrome,0,0
SID_00152,569,UDP,7,175.73628085127916,None,0.51671417169513,1,Chrome,1,1
SID_00153,363,ICMP,6,1207.0821332288124,AES,0.3510400422582782,2,Chrome,0,0
SID_00154,546,TCP,5,942.2728647931103,AES,0.3436559596851325,1,Chrome,0,0
SID_00155,558,UDP,9,494.07664627087496,DES,0.31443163410414626,2,Safari,0,1
SID_00156,357,TCP,9,72.91081297639256,DES,0.19953731668446373,2,Edge,0,1
SID_00157,873,UDP,3,107.46754869926538,DES,0.05122628058672245,2,Chrome,0,0
SID_00158,594,TCP,3,97.24720087836856,AES,0.40768594562267296,4,Chrome,0,1
SID_00159,261,TCP,10,376.77038577631316,None,0.24069929967697973,1,Safari,0,1
SID_00160,631,TCP,6,138.5095628371252,AES,0.10060363254657502,1,Chrome,0,0
SID_00161,305,TCP,6,1577.7168112486886,AES,0.34691659007072806,1,Edge,0,0
SID_00162,657,TCP,6,1836.8540664047437,None,0.14727939671367105,3,Chrome,0,1
SID_00163,731,UDP,5,1554.6376149090597,DES,0.25492262754135936,2,Firefox,0,1
SID_00164,335,TCP,3,750.9414290852901,DES,0.12309678522027008,3,Chrome,0,1
SID_00165,692,UDP,7,725.7763899065397,None,0.5231976202835485,2,Chrome,0,1
SID_00166,582,UDP,5,1772.5689478516597,AES,0.2328323308098431,1,Chrome,0,0
SID_00167,664,TCP,8,417.1159065866958,AES,0.37106422907280934,2,Edge,0,1
SID_00168,879,TCP,5,51.49798031536433,None,0.10100166312296177,0,Firefox,0,1
SID_00169,450,UDP,1,508.49628287021335,AES,0.25777048564441196,2,Chrome,0,0
SID_00170,349,TCP,8,645.4298805334846,AES,0.242800051494813,1,Chrome,0,1
SID_00171,322,TCP,1,637.8327848930265,AES,0.19991126910649915,1,Chrome,0,0
SID_00172,336,TCP,2,138.5347758456176,None,0.11711557654436118,2,Chrome,0,1
SID_00173,484,TCP,5,1223.8102732316374,AES,0.3957542090094353,1,Chrome,1,1
SID_00174,568,ICMP,5,1053.3158665799629,DES,0.1891346709377445,2,Edge,0,1
SID_00175,555,TCP,5,208.93902977348898,AES,0.551708412894967,1,Chrome,0,0
SID_00176,665,TCP,6,640.9945335485618,DES,0.5003713391880107,3,Firefox,0,1
SID_00177,502,TCP,12,1249.7694954987144,DES,0.2982140196718431,1,Firefox,0,1
SID_00178,790,UDP,4,6.171441467446689,DES,0.1969726328712207,2,Firefox,0,1
SID_00179,447,UDP,3,257.43773882813775,AES,0.06768154311491659,0,Firefox,1,0
SID_00180,1044,TCP,4,510.9845736621589,AES,0.5004393941360112,2,Edge,0,0
SID_00181,625,TCP,1,1491.6272442087734,AES,0.22923960776502283,3,Chrome,0,1
SID_00182,328,TCP,4,1283.4300381717148,None,0.27908773107727364,2,Chrome,0,0
SID_00183,285,TCP,7,130.94982959554818,DES,0.25465666969031137,2,Chrome,1,1
SID_00184,596,TCP,2,497.02132412144806,AES,0.11791791643593835,2,Chrome,0,0
SID_00185,455,ICMP,2,290.6566794998655,None,0.4049464294212396,2,Firefox,0,0
SID_00186,642,TCP,1,410.5743325044247,None,0.2535139501498699,2,Chrome,0,0
SID_00187,594,TCP,4,622.3103994578047,AES,0.8110277884368354,2,Chrome,0,1
SID_00188,485,UDP,4,553.4633422524302,DES,0.09149837715254354,2,Chrome,0,0
SID_00189,330,TCP,2,122.12443528436627,AES,0.5509077290494483,0,Edge,0,0
SID_00190,197,TCP,7,103.8028280833901,AES,0.444103086563627,2,Edge,0,1
SID_00191,410,TCP,5,111.65696274923886,AES,0.3910043614883334,1,Edge,0,0
SID_00192,671,TCP,4,1472.5326581431882,DES,0.10935434518091745,3,Unknown,0,1
SID_00193,542,UDP,5,16.10939607653426,AES,0.31073307376498377,1,Firefox,1,0
SID_00194,250,TCP,4,180.92309581506888,AES,0.17527625147275183,1,Chrome,0,0
SID_00195,534,TCP,7,2496.887261332685,DES,0.24513229647478882,1,Chrome,0,1
SID_00196,577,TCP,5,54.64134538770197,None,0.2994484351708427,1,Edge,0,0
SID_00197,323,UDP,5,29.597993653136278,DES,0.27763276195028896,1,Chrome,0,0
SID_00198,530,TCP,5,391.9421775186524,DES,0.30160538572178786,2,Firefox,0,0
SID_00199,511,TCP,2,131.1458838080163,AES,0.13891478999396353,2,Chrome,0,0
SID_00200,271,ICMP,3,667.3328621639511,DES,0.08636301976462228,3,Chrome,0,1
SID_00201,571,TCP,5,330.69417239531657,DES,0.09896058358135756,0,Firefox,0,0
SID_00202,612,UDP,3,187.5349141621204,DES,0.5341956729663283,2,Safari,0,0
SID_00203,716,TCP,3,5258.007876672442,None,0.0806761863988792,2,Chrome,0,0
SID_00204,710,TCP,2,333.75180613210904,DES,0.3712473480414219,3,Firefox,0,1
SID_00205,224,TCP,5,819.5606827516343,DES,0.2634839803106942,2,Edge,0,0
SID_00206,312,TCP,4,1657.8967328136305,AES,0.2363722399848674,1,Chrome,0,0
SID_00207,603,TCP,8,2044.8178511422518,AES,0.6514337877152981,3,Chrome,0,1
SID_00208,602,TCP,7,422.27882690644805,AES,0.21509486011467946,3,Edge,0,1
SID_00209,603,TCP,1,2988.9867876731164,DES,0.27608965247415784,2,Chrome,0,0
SID_00210,1270,TCP,5,1031.5238151002425,DES,0.7746157586048802,1,Chrome,0,1
SID_00211,614,TCP,7,700.2644400491948,AES,0.14881494549519864,3,Chrome,0,1
SID_00212,727,ICMP,2,945.454259300091,AES,0.6518286335567869,1,Chrome,0,1
SID_00213,690,TCP,8,357.2019170732965,None,0.21284226938215828,1,Chrome,0,1
SID_00214,630,ICMP,3,441.88132577627186,AES,0.33794037016960526,2,Edge,0,0
SID_00215,436,TCP,2,706.0315237925229,AES,0.35945745106323995,0,Chrome,0,0
SID_00216,651,TCP,7,316.6108122061147,AES,0.2730883183996028,2,Chrome,0,1
SID_00217,345,TCP,3,1171.6183429982286,None,0.3820914343646016,1,Unknown,1,1
SID_00218,452,UDP,4,231.30575269547214,AES,0.17588986008134588,3,Safari,0,1
SID_00219,402,UDP,6,1274.8733430770328,AES,0.4186859064025884,1,Chrome,0,1
SID_00220,516,TCP,7,132.04816019596333,DES,0.25691585843342396,2,Chrome,1,1
SID_00221,962,UDP,3,196.0975201486787,AES,0.5667834471156061,1,Chrome,1,0
SID_00222,126,TCP,2,1118.9978077851902,AES,0.25130531110365123,1,Chrome,0,1
SID_00223,637,TCP,7,244.2875861075147,None,0.12382836584601561,1,Chrome,0,1
SID_00224,177,ICMP,3,1269.336265254229,None,0.1129417568750118,1,Firefox,0,0
SID_00225,405,UDP,5,1225.5001480117148,AES,0.7302739057014698,0,Chrome,0,1
SID_00226,717,ICMP,3,237.97180227640533,AES,0.6146206048540265,2,Unknown,0,1
SID_00227,512,TCP,2,60.71129061945858,AES,0.42760294318720976,3,Chrome,1,1
SID_00228,284,TCP,5,145.56345742064204,AES,0.4726292422226099,1,Firefox,0,0
SID_00229,356,TCP,5,1117.1621572909544,AES,0.24121433569502596,1,Chrome,0,0
SID_00230,635,TCP,10,1501.823588577862,AES,0.07249008152975217,3,Firefox,0,1
SID_00231,353,UDP,5,386.38098406554013,AES,0.4272224955366141,0,Chrome,0,0
SID_00232,543,TCP,4,143.51076801543536,None,0.1640873775537933,0,Edge,0,0
SID_00233,509,TCP,5,62.77560611350965,AES,0.6633916285008086,2,Chrome,0,1
SID_00234,369,TCP,4,194.48929953258573,DES,0.4417840130620103,1,Chrome,0,0
SID_00235,928,TCP,5,3117.1111237301275,AES,0.21923787973272774,2,Chrome,0,0
SID_00236,626,TCP,6,149.326854401643,DES,0.4875925572606101,1,Chrome,0,1
SID_00237,94,TCP,3,72.08595471285292,AES,0.16730034409455027,2,Chrome,0,0
SID_00238,537,UDP,4,1231.45768962121,AES,0.31750206890381644,0,Chrome,0,0
SID_00239,367,TCP,6,764.4650684422296,None,0.5522961048967473,1,Chrome,0,0
SID_00240,670,UDP,4,612.2670042320594,DES,0.6324729460357419,2,Chrome,0,1
SID_00241,341,TCP,4,475.1521218829639,DES,0.11424641765443913,1,Chrome,0,1
SID_00242,477,TCP,5,968.1034736152236,None,0.17633419954005064,0,Chrome,0,0
SID_00243,600,TCP,3,958.8035428495627,None,0.31794561382687275,1,Edge,0,0
SID_00244,673,UDP,5,441.90985118413903,AES,0.24576491077630633,3,Chrome,0,1
SID_00245,259,TCP,3,213.49648104766666,AES,0.5920401183622336,3,Firefox,0,1
SID_00246,433,TCP,3,1472.4075257417499,DES,0.4633481759121942,3,Edge,1,1
SID_00247,405,TCP,10,143.89705935042394,AES,0.5711969542396962,1,Chrome,0,1
SID_00248,369,TCP,3,610.8665546296135,AES,0.3074823935664694,2,Firefox,0,0
SID_00249,853,UDP,4,943.877265223019,AES,0.39724642481489625,3,Firefox,0,1
SID_00250,580,UDP,2,814.8292492241783,None,0.12500708054490692,2,Chrome,0,0
SID_00251,247,TCP,5,771.5329877113128,DES,0.1275830500381217,2,Chrome,0,1
SID_00252,683,TCP,3,868.966499861094,None,0.2953639630114019,0,Chrome,0,0
SID_00253,924,UDP,6,1667.7557175305815,AES,0.2884500333340842,2,Chrome,0,0
SID_00254,706,TCP,4,363.7989546346428,AES,0.24893284636035107,2,Firefox,1,0
SID_00255,196,TCP,3,789.8782430060236,AES,0.2640141983689803,1,Chrome,0,0
SID_00256,403,TCP,3,955.1300120826255,None,0.27278849683384365,1,Chrome,0,0
SID_00257,753,TCP,2,713.915926948315,AES,0.5568005749245504,2,Edge,0,0
SID_00258,358,TCP,2,1866.4572315837238,DES,0.44773808347627925,1,Safari,1,0
SID_00259,588,UDP,2,850.8558379069228,DES,0.2079475511776274,4,Chrome,0,1
SID_00260,654,TCP,6,441.9142581175928,DES,0.09917348145527412,0,Edge,0,0
SID_00261,314,TCP,6,1494.500082454998,DES,0.08055713538253069,3,Safari,0,1
SID_00262,488,UDP,5,537.9982787042743,AES,0.2962939229915175,0,Chrome,0,0
SID_00263,64,TCP,4,604.296028734614,AES,0.24560920484688306,1,Chrome,0,1
SID_00264,295,TCP,4,698.3541920212049,DES,0.45338784465732795,4,Firefox,0,1
SID_00265,449,TCP,2,311.812813564501,AES,0.30144760181272523,1,Chrome,0,0
SID_00266,250,TCP,4,1025.6623175854356,AES,0.14315855350144743,2,Chrome,0,0
SID_00267,826,UDP,9,82.62453258190554,AES,0.39014166473249245,1,Chrome,0,1
SID_00268,213,UDP,3,1625.1259879496724,AES,0.2948380134293726,1,Chrome,0,0
SID_00269,411,TCP,4,1123.6896964634686,AES,0.08098371817550205,1,Chrome,0,0
SID_00270,526,UDP,3,349.10877723244647,None,0.23875021048573433,2,Chrome,0,1
SID_00271,788,TCP,5,205.35313763445285,DES,0.30511700835069366,2,Edge,1,0
SID_00272,212,UDP,6,392.6850037634333,AES,0.3699865367207026,1,Chrome,1,0
SID_00273,732,TCP,2,1308.020307909569,AES,0.19190465735152087,4,Edge,0,1
SID_00274,502,TCP,6,25.66391556980137,None,0.21731596555545263,3,Chrome,0,1
SID_00275,303,TCP,4,504.7755404096497,None,0.03613923561137907,1,Chrome,0,0
SID_00276,592,TCP,1,234.54194250047792,None,0.408215129621812,2,Edge,0,0
SID_00277,539,TCP,2,1663.2422532826595,AES,0.13537681175141764,2,Safari,0,1
SID_00278,379,TCP,4,427.33213938305585,DES,0.7082677300966431,1,Firefox,0,1
SID_00279,513,UDP,4,957.593324494753,AES,0.2103723487670503,1,Chrome,0,1
SID_00280,422,TCP,5,354.39962301749523,AES,0.03952554508329426,1,Safari,0,1
SID_00281,522,ICMP,7,320.0235284583744,AES,0.7191215189351108,1,Firefox,0,1
SID_00282,632,TCP,6,315.4692574902977,AES,0.38128496346323715,2,Firefox,0,0
SID_00283,817,TCP,7,906.9969209771177,None,0.2076923991581579,1,Chrome,0,1
SID_00284,252,UDP,5,2664.7602536271625,DES,0.3229205459042479,2,Firefox,0,0
SID_00285,926,TCP,6,186.7013391561711,AES,0.2648246677824046,1,Chrome,0,0
SID_00286,109,UDP,3,826.0377247161939,None,0.5070415050332354,2,Firefox,0,0
SID_00287,469,UDP,3,246.780815380797,AES,0.38523621022215293,3,Chrome,0,1
SID_00288,617,TCP,3,637.6515281008511,DES,0.34805497631509735,1,Chrome,0,1
SID_00289,556,TCP,3,624.0084850513184,DES,0.16891398086844386,1,Firefox,0,0
SID_00290,375,TCP,3,478.3365406589435,AES,0.2315063890845416,3,Chrome,0,1
SID_00291,458,TCP,6,552.3513164824271,DES,0.14823951679445124,3,Chrome,0,1
SID_00292,401,TCP,4,1697.7533026634542,AES,0.43488085420757855,2,Chrome,0,0
SID_00293,382,UDP,5,74.22269221366982,AES,0.07826154021499654,2,Unknown,0,1
SID_00294,669,TCP,1,1418.8990127219554,AES,0.4528119810065444,1,Chrome,1,0
SID_00295,571,TCP,3,496.3834309128998,AES,0.308044553720591,4,Firefox,0,1
SID_00296,361,TCP,4,324.6849905115727,None,0.30899344580075555,0,Safari,0,0
SID_00297,679,ICMP,1,155.98117018839662,AES,0.35090905884332474,2,Edge,0,0
SID_00298,561,TCP,4,1349.0830647792754,DES,0.42443799637531926,1,Chrome,0,0
SID_00299,662,TCP,6,717.2732948818624,AES,0.3442998834876844,3,Chrome,0,1
SID_00300,625,TCP,7,1042.668395568587,None,0.21516441982881118,2,Chrome,0,1
SID_00301,334,ICMP,4,302.6262416858706,DES,0.3722647858030916,3,Chrome,0,1
SID_00302,387,ICMP,2,399.3275015852074,AES,0.395613837280464,1,Firefox,0,0
SID_00303,649,TCP,3,1959.4190815651675,DES,0.30656638035203354,2,Firefox,0,0
SID_00304,622,UDP,3,2599.1028605223205,AES,0.0603654977219078,2,Chrome,0,0
SID_00305,495,TCP,4,1077.1734625145084,AES,0.7032079060249946,3,Unknown,1,1
SID_00306,523,ICMP,3,1107.200843136241,DES,0.40687781432399844,0,Chrome,0,0
SID_00307,755,TCP,1,948.3833026661184,AES,0.75885213312559,2,Firefox,0,1
SID_00308,381,TCP,6,707.8529081699623,AES,0.3981485733080811,2,Firefox,1,1
SID_00309,609,TCP,5,723.2493102710545,DES,0.2378407310010676,4,Chrome,1,1
